商家名称,商家地址,纬度,经度,营业时间,评价,评价数
i转角（恒星世界店）,天津市东丽区万新街道先锋路61号汇城广场（恒星世界）四层8420号,39.08443959,117.3064773,['09:45/20:45'],4.9,200
i转角(陆家嘴店),天津市红桥区大丰路25-29（单）号陆家嘴中心第5层506单元,39.147511,117.172138,['10:00/21:30'],5,18
Jiang味新疆餐厅,天津市红桥区丁字沽一号路凯莱赛商厦二层糖果工厂编号G,39.181031,117.139487,"['11:00/14:10', '16:50/21:00']",4.5,47
"Kafu food简餐",天津市河东区十五经路1号1楼108室,39.116081,117.238548,['10:00/19:20'],4.8,84
Kao!烤肉饭,天津市武清区杨村街泉州北路东侧荔隆广场3楼,39.390848,117.062952,['09:20/21:30'],4.7,99
Kao铺,天津市河西区大沽南路1118号天津泉汇购物广场4层4-013号,39.068027,117.281699,['09:30/22:30'],4.7,379
Kao铺(天津商业大学店),天津市红桥区西于庄街道翠溪园小区10号楼底商5号,39.182332,117.134125,['09:00/22:30'],4.7,60
Kao铺麻辣香锅水煮鱼,天津市河东区春华街道新开路138号增1号,39.137429,117.220281,['09:30/20:00'],4.7,348
"Lemon Tree洋味食屋",天津市河西区大沽南路1118号(鑫光市场)底商01,39.067718,117.282539,['09:45/20:45'],4.7,128
linlin鲜花（东丽店）,天津市东丽区华明家园达园16-4-101室,39.18196433,117.38918534,['07:30/00:30'],0,0
linlin鲜花（同安新里店）,天津市和平区同安道同安新里1-6号2门207,39.11057451,117.18629228,['07:30/00:30'],0,0
linlin鲜花（宾水道店）,******,39.08434067,117.19462691,['07:30/00:30'],0,0
linlin鲜花（河西店）,天津市河西区小海地泰山里18号楼20门105-109,39.0706969,117.27296482,['07:30/00:30'],0,0
linlin鲜花（红桥店）,天津市红桥区大胡同2号,39.15478833,117.19731179,['07:30/00:30'],0,0
LOFT-BASE牛排热狗(红星路店),天津市河东区红星路108号增1号生产一楼北侧,39.148265,117.234626,['09:00/22:00'],4.6,226
LOFT-BASE牛排热狗(辰昌路店),天津市北辰区天穆镇王庄市场7排14号,39.200101,117.125133,['10:00/22:00'],4.6,192
MAGICT幻茶,天津市武清区京津公路东侧中信广场D区01,39.37019,117.071213,['09:00/21:30'],4.5,31
MC螺蛳粉,河西区大沽南路1118号天津泉汇购物广场有限公司步行街底商36号,39.067553,117.28042,['09:15/20:45'],4.8,157
MC螺蛳粉(北辰店),天津市北辰区青光镇瑞顺市场14号,39.19315,117.113238,['09:30/21:30'],4.5,78
MC螺蛳粉(柳林大润发店),河西区大沽南路1118号天津泉汇购物广场有限公司步行街底商36号,39.067553,117.28042,['09:15/20:45'],4.8,138
